food_kr,food_en,source_reliability,source_name,rule_source,임산부_정보유무,임산부_주의,수유부_정보유무,수유부_주의
생고기 및 덜 익힌 고기,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
생 소시지 및 덜 익힌 소시지,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
날 생선과 훈제 생선 및 해산물,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
내장,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
날달걀 또는 덜 익은 달걀,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
날달걀 요리(예: 티라미수 또는 신선한 마요네즈),,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
블루 치즈,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
씻지 않은 과일 및 채소,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
포장 샐러드,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
샐러드 바 또는 뷔페의 샐러드,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
술,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
에너지 드링크,,Medium,Hipp – 임신 중 주의해야 하는 음식,https://www.hipp.co.kr/index.php?id=38743,TRUE,Avoid,FALSE,None
